cpf,hora,data,produto,preço,quantidade,pdv,operadora,operação,região,total
314.950.268-33,16:24,24/08/2022,Óleo,18.4,6,15,Evelyn,dinheiro,Rio de Janeiro,110.4
627.859.430-74,14:42,30/08/2022,Leite,12.3,5,17,Elisa,pix,Rio Grande do Sul,61.5
943.806.257-29,08:53,21/08/2022,Macarrão,22.6,6,8,Evelyn,cartão_credito,Minas Gerais,135.6
962.845.173-19,20:26,21/08/2022,Arroz,21.7,10,21,Cecília,cartão_credito,Rio Grande do Sul,217.0
510.679.284-30,17:46,04/08/2022,Leite,12.3,9,15,Brenda,cartão_credito,São Paulo,110.7
312.470.586-62,10:34,05/08/2022,Feijão,15.5,4,17,Cecília,cartão_debito,Espírito Santo,62.0
106.372.948-31,14:01,07/08/2022,Carne,37.0,3,7,Pietra,cartão_credito,Rio de Janeiro,111.0
418.970.635-39,19:10,12/08/2022,Macarrão,22.6,10,3,Evelyn,cartão_debito,São Paulo,226.0
935.416.820-51,22:39,27/08/2022,Leite,12.3,6,10,Evelyn,dinheiro,Rio de Janeiro,73.8
638.450.217-80,21:35,04/08/2022,Arroz,21.7,5,12,Brenda,pix,Bahia,108.5
351.809.762-86,11:46,14/08/2022,Feijão,15.5,1,11,Julia,cartão_credito,Rio Grande do Sul,15.5
529.617.308-21,14:58,01/08/2022,Feijão,15.5,4,1,Pietra,pix,Rio de Janeiro,62.0
164.950.372-52,18:10,10/08/2022,Arroz,21.7,9,21,Cecília,pix,Bahia,195.3
306.724.815-53,16:52,12/08/2022,Carne,37.0,7,21,Pietra,cartão_debito,Espírito Santo,259.0
924.176.035-43,10:47,17/08/2022,Açúcar,25.5,4,4,Evelyn,cartão_credito,Rio Grande do Sul,102.0
016.897.423-13,12:18,02/08/2022,Carne,37.0,3,16,Elisa,cartão_credito,São Paulo,111.0
346.579.201-70,11:25,10/08/2022,Arroz,21.7,10,20,Evelyn,cartão_credito,Bahia,217.0
189.463.025-42,12:34,08/08/2022,Carne,37.0,3,3,Pietra,dinheiro,Bahia,111.0
169.548.703-66,21:05,04/08/2022,Macarrão,22.6,2,18,Pietra,cartão_credito,São Paulo,45.2
681.405.937-10,17:27,20/08/2022,Feijão,15.5,6,2,Julia,dinheiro,Bahia,93.0
369.057.284-38,21:08,04/08/2022,Arroz,21.7,10,3,Evelyn,dinheiro,Minas Gerais,217.0
820.379.541-23,22:59,20/08/2022,Açúcar,25.5,6,20,Julia,dinheiro,Rio de Janeiro,153.0
580.179.243-05,20:48,28/08/2022,Óleo,18.4,3,21,Pietra,cartão_credito,Minas Gerais,55.2
825.013.974-79,22:57,07/08/2022,Macarrão,22.6,8,21,Cecília,pix,Rio Grande do Sul,180.8
218.790.643-40,17:55,24/08/2022,Óleo,18.4,10,13,Brenda,cartão_credito,São Paulo,184.0
346.278.015-80,21:35,25/08/2022,Macarrão,22.6,4,4,Cecília,cartão_credito,Rio Grande do Sul,90.4
280.473.961-96,11:40,19/08/2022,Leite,12.3,9,20,Elisa,pix,São Paulo,110.7
043.967.128-04,22:18,07/08/2022,Feijão,15.5,6,3,Julia,pix,Rio Grande do Sul,93.0
295.143.786-28,19:30,07/08/2022,Açúcar,25.5,1,2,Elisa,cartão_credito,São Paulo,25.5
549.607.281-67,18:30,13/08/2022,Carne,37.0,7,16,Elisa,dinheiro,Rio Grande do Sul,259.0
791.256.340-70,17:10,18/08/2022,Óleo,18.4,7,16,Elisa,pix,Rio de Janeiro,128.8
450.391.678-57,16:58,27/08/2022,Açúcar,25.5,6,6,Elisa,cartão_credito,Rio Grande do Sul,153.0
169.073.452-34,17:04,21/08/2022,Leite,12.3,7,14,Pietra,cartão_credito,Rio de Janeiro,86.1
520.137.684-35,08:08,06/08/2022,Arroz,21.7,4,19,Evelyn,cartão_debito,Rio Grande do Sul,86.8
981.205.647-58,09:03,18/08/2022,Carne,37.0,9,6,Elisa,dinheiro,São Paulo,333.0
452.381.609-33,09:16,25/08/2022,Feijão,15.5,7,8,Brenda,pix,Rio Grande do Sul,108.5
923.654.701-06,13:58,13/08/2022,Feijão,15.5,2,21,Elisa,dinheiro,Espírito Santo,31.0
298.403.516-05,16:00,08/08/2022,Açúcar,25.5,7,4,Brenda,cartão_credito,Rio Grande do Sul,178.5
046.957.132-25,18:58,17/08/2022,Leite,12.3,7,6,Evelyn,pix,Espírito Santo,86.1
948.031.257-32,12:48,26/08/2022,Carne,37.0,3,7,Cecília,cartão_credito,Espírito Santo,111.0
582.306.497-74,18:37,20/08/2022,Carne,37.0,1,5,Julia,cartão_credito,São Paulo,37.0
510.679.284-30,13:34,28/08/2022,Feijão,15.5,5,15,Cecília,cartão_credito,Espírito Santo,77.5
693.851.027-02,20:05,06/08/2022,Carne,37.0,5,2,Brenda,dinheiro,Rio de Janeiro,185.0
671.534.289-09,21:43,19/08/2022,Óleo,18.4,10,19,Elisa,cartão_credito,Minas Gerais,184.0
504.361.289-42,11:15,28/08/2022,Óleo,18.4,7,20,Evelyn,dinheiro,São Paulo,128.8
019.352.784-79,21:36,24/08/2022,Feijão,15.5,2,18,Elisa,cartão_credito,São Paulo,31.0
573.180.249-14,10:21,10/08/2022,Carne,37.0,1,11,Brenda,pix,São Paulo,37.0
147.509.632-16,11:20,25/08/2022,Feijão,15.5,5,11,Pietra,cartão_debito,São Paulo,77.5
310.864.927-22,09:07,04/08/2022,Carne,37.0,7,7,Elisa,dinheiro,Rio de Janeiro,259.0
526.813.470-17,20:10,06/08/2022,Feijão,15.5,9,20,Julia,dinheiro,Bahia,139.5
341.908.675-00,09:28,11/08/2022,Carne,37.0,6,1,Brenda,cartão_debito,Rio Grande do Sul,222.0
418.970.635-39,21:06,13/08/2022,Óleo,18.4,6,17,Evelyn,cartão_debito,Espírito Santo,110.4
423.895.106-98,22:34,30/08/2022,Macarrão,22.6,3,3,Pietra,cartão_debito,Espírito Santo,67.8
158.403.962-06,13:00,25/08/2022,Carne,37.0,10,15,Evelyn,pix,Bahia,370.0
381.924.560-05,12:41,25/08/2022,Macarrão,22.6,4,3,Julia,pix,Bahia,90.4
169.548.703-66,12:34,29/08/2022,Açúcar,25.5,6,2,Cecília,dinheiro,Espírito Santo,153.0
510.679.284-30,20:53,29/08/2022,Feijão,15.5,9,6,Pietra,pix,Rio Grande do Sul,139.5
621.934.850-89,13:35,16/08/2022,Carne,37.0,8,9,Cecília,dinheiro,Minas Gerais,296.0
549.607.281-67,10:35,04/08/2022,Macarrão,22.6,8,13,Pietra,cartão_credito,Minas Gerais,180.8
346.579.201-70,17:43,09/08/2022,Carne,37.0,6,9,Elisa,dinheiro,São Paulo,222.0
523.784.106-62,20:12,30/08/2022,Feijão,15.5,2,15,Pietra,cartão_credito,Bahia,31.0
764.023.895-10,22:38,12/08/2022,Macarrão,22.6,8,5,Cecília,pix,Bahia,180.8
381.905.264-05,08:41,16/08/2022,Açúcar,25.5,7,12,Elisa,cartão_credito,Bahia,178.5
549.607.281-67,22:24,09/08/2022,Açúcar,25.5,3,17,Brenda,dinheiro,Bahia,76.5
230.187.549-05,17:24,22/08/2022,Feijão,15.5,4,12,Brenda,cartão_debito,Bahia,62.0
743.291.086-31,11:47,25/08/2022,Açúcar,25.5,1,13,Evelyn,dinheiro,Rio de Janeiro,25.5
713.029.586-40,20:42,16/08/2022,Arroz,21.7,1,9,Elisa,pix,São Paulo,21.7
935.416.820-51,15:26,29/08/2022,Feijão,15.5,6,5,Brenda,dinheiro,Minas Gerais,93.0
871.204.365-62,14:08,20/08/2022,Arroz,21.7,7,19,Evelyn,cartão_debito,Rio Grande do Sul,151.9
546.910.238-60,15:44,20/08/2022,Leite,12.3,5,15,Cecília,pix,Bahia,61.5
203.968.541-33,09:16,09/08/2022,Óleo,18.4,2,13,Pietra,dinheiro,Rio Grande do Sul,36.8
214.958.370-41,18:26,16/08/2022,Arroz,21.7,3,5,Evelyn,cartão_debito,Rio de Janeiro,65.1
064.823.579-38,15:45,07/08/2022,Óleo,18.4,4,10,Elisa,dinheiro,Bahia,73.6
189.463.025-42,15:12,27/08/2022,Arroz,21.7,9,18,Pietra,cartão_credito,Espírito Santo,195.3
617.945.302-07,14:44,05/08/2022,Carne,37.0,10,9,Pietra,pix,São Paulo,370.0
752.194.308-23,15:37,14/08/2022,Leite,12.3,2,3,Brenda,cartão_debito,Rio de Janeiro,24.6
617.089.243-96,20:42,05/08/2022,Macarrão,22.6,10,11,Brenda,pix,Rio Grande do Sul,226.0
341.908.675-00,11:49,15/08/2022,Açúcar,25.5,1,10,Elisa,cartão_credito,Espírito Santo,25.5
314.572.608-08,09:30,03/08/2022,Arroz,21.7,5,21,Elisa,cartão_credito,São Paulo,108.5
182.049.763-13,14:29,17/08/2022,Carne,37.0,7,15,Elisa,dinheiro,Minas Gerais,259.0
795.610.324-06,15:12,23/08/2022,Óleo,18.4,4,1,Pietra,pix,Espírito Santo,73.6
247.651.083-17,21:26,17/08/2022,Macarrão,22.6,6,2,Julia,pix,Bahia,135.6
809.376.214-04,19:41,09/08/2022,Carne,37.0,7,21,Elisa,dinheiro,São Paulo,259.0
602.159.748-67,20:25,08/08/2022,Leite,12.3,5,9,Elisa,pix,Espírito Santo,61.5
514.807.639-93,11:40,28/08/2022,Arroz,21.7,2,11,Pietra,pix,Rio de Janeiro,43.4
730.841.695-00,08:31,24/08/2022,Açúcar,25.5,3,14,Pietra,pix,Rio de Janeiro,76.5
471.698.502-49,20:34,26/08/2022,Arroz,21.7,8,17,Julia,dinheiro,Rio Grande do Sul,173.6
214.958.370-41,11:27,09/08/2022,Arroz,21.7,5,21,Evelyn,cartão_debito,Minas Gerais,108.5
546.910.238-60,16:16,15/08/2022,Feijão,15.5,3,3,Brenda,pix,Rio de Janeiro,46.5
791.256.340-70,20:11,25/08/2022,Leite,12.3,4,15,Elisa,pix,Bahia,49.2
481.350.297-05,13:24,15/08/2022,Carne,37.0,4,15,Cecília,dinheiro,São Paulo,148.0
781.065.942-11,15:20,21/08/2022,Macarrão,22.6,1,20,Evelyn,cartão_debito,Minas Gerais,22.6
028.197.563-95,08:26,22/08/2022,Carne,37.0,5,10,Elisa,pix,Rio de Janeiro,185.0
217.984.506-58,10:07,20/08/2022,Feijão,15.5,8,8,Julia,cartão_credito,Minas Gerais,124.0
240.815.369-70,18:49,24/08/2022,Leite,12.3,7,12,Pietra,pix,Rio de Janeiro,86.1
835.172.046-17,14:53,19/08/2022,Arroz,21.7,1,16,Pietra,cartão_debito,São Paulo,21.7
672.398.541-91,13:36,29/08/2022,Macarrão,22.6,8,6,Cecília,dinheiro,Rio Grande do Sul,180.8
123.740.596-34,13:30,13/08/2022,Macarrão,22.6,8,18,Elisa,cartão_debito,Espírito Santo,180.8
075.382.941-04,08:33,22/08/2022,Feijão,15.5,1,18,Elisa,dinheiro,Rio Grande do Sul,15.5
621.934.850-89,22:40,10/08/2022,Óleo,18.4,10,4,Evelyn,cartão_debito,São Paulo,184.0
640.187.392-22,20:41,03/08/2022,Leite,12.3,9,12,Pietra,dinheiro,Rio Grande do Sul,110.7
439.105.278-41,11:49,25/08/2022,Feijão,15.5,3,9,Pietra,cartão_credito,Rio Grande do Sul,46.5
457.160.893-48,19:16,05/08/2022,Feijão,15.5,4,3,Brenda,cartão_credito,Espírito Santo,62.0
746.138.205-53,12:13,24/08/2022,Feijão,15.5,2,12,Pietra,cartão_debito,Minas Gerais,31.0
702.589.631-40,11:02,29/08/2022,Carne,37.0,2,17,Cecília,cartão_debito,Bahia,74.0
341.908.675-00,15:41,13/08/2022,Carne,37.0,5,15,Evelyn,cartão_debito,Bahia,185.0
510.679.284-30,22:34,18/08/2022,Macarrão,22.6,1,10,Brenda,cartão_debito,Rio de Janeiro,22.6
465.291.078-94,17:59,21/08/2022,Macarrão,22.6,4,14,Pietra,dinheiro,Rio Grande do Sul,90.4
548.239.017-97,10:42,09/08/2022,Feijão,15.5,2,5,Brenda,dinheiro,Rio de Janeiro,31.0
157.430.968-48,14:38,13/08/2022,Óleo,18.4,4,15,Pietra,cartão_credito,Rio de Janeiro,73.6
872.043.615-71,19:46,23/08/2022,Feijão,15.5,10,11,Evelyn,cartão_credito,Bahia,155.0
970.546.832-00,09:57,29/08/2022,Óleo,18.4,10,9,Evelyn,cartão_debito,São Paulo,184.0
890.453.627-83,12:04,10/08/2022,Óleo,18.4,10,19,Julia,dinheiro,Minas Gerais,184.0
108.597.462-67,19:19,04/08/2022,Macarrão,22.6,8,3,Elisa,cartão_debito,Minas Gerais,180.8
124.863.970-78,17:47,10/08/2022,Açúcar,25.5,2,4,Brenda,cartão_credito,São Paulo,51.0
269.104.578-11,10:43,08/08/2022,Carne,37.0,6,18,Elisa,cartão_debito,Minas Gerais,222.0
813.549.260-05,08:08,22/08/2022,Feijão,15.5,5,16,Evelyn,cartão_credito,Bahia,77.5
395.120.768-02,16:24,04/08/2022,Arroz,21.7,5,1,Evelyn,cartão_debito,Bahia,108.5
480.251.639-89,21:08,21/08/2022,Feijão,15.5,5,19,Elisa,dinheiro,Rio Grande do Sul,77.5
407.516.839-57,20:31,05/08/2022,Arroz,21.7,4,12,Pietra,cartão_debito,São Paulo,86.8
930.647.215-34,17:01,19/08/2022,Feijão,15.5,10,12,Pietra,cartão_debito,Minas Gerais,155.0
316.502.498-70,15:08,05/08/2022,Arroz,21.7,2,17,Cecília,dinheiro,Espírito Santo,43.4
425.917.803-23,12:38,23/08/2022,Açúcar,25.5,6,11,Brenda,dinheiro,Espírito Santo,153.0
182.396.745-00,09:43,14/08/2022,Leite,12.3,1,6,Pietra,cartão_credito,São Paulo,12.3
293.816.540-42,17:28,09/08/2022,Carne,37.0,8,18,Julia,cartão_debito,São Paulo,296.0
932.180.476-50,22:39,30/08/2022,Carne,37.0,3,3,Elisa,dinheiro,Espírito Santo,111.0
286.173.940-13,15:02,13/08/2022,Açúcar,25.5,6,8,Cecília,cartão_credito,Espírito Santo,153.0
068.213.497-03,08:23,25/08/2022,Feijão,15.5,5,12,Brenda,dinheiro,São Paulo,77.5
276.058.419-49,12:19,24/08/2022,Macarrão,22.6,1,9,Brenda,cartão_credito,Minas Gerais,22.6
267.903.415-52,08:42,09/08/2022,Feijão,15.5,8,18,Pietra,cartão_debito,Minas Gerais,124.0
715.408.326-35,22:03,14/08/2022,Feijão,15.5,8,13,Julia,cartão_debito,Rio Grande do Sul,124.0
471.698.502-49,13:00,16/08/2022,Macarrão,22.6,5,10,Brenda,cartão_debito,Rio Grande do Sul,113.0
860.253.971-12,11:22,07/08/2022,Feijão,15.5,3,21,Brenda,pix,Rio Grande do Sul,46.5
589.702.136-86,10:19,28/08/2022,Açúcar,25.5,9,1,Julia,cartão_credito,Espírito Santo,229.5
549.607.281-67,17:40,20/08/2022,Feijão,15.5,8,8,Pietra,cartão_credito,Rio de Janeiro,124.0
602.159.748-67,19:54,21/08/2022,Macarrão,22.6,5,7,Elisa,pix,Rio de Janeiro,113.0
542.180.736-35,18:06,16/08/2022,Leite,12.3,5,6,Pietra,cartão_credito,Rio Grande do Sul,61.5
823.619.754-91,14:02,24/08/2022,Carne,37.0,3,20,Pietra,cartão_debito,Bahia,111.0
509.364.812-42,20:07,25/08/2022,Macarrão,22.6,6,21,Cecília,cartão_credito,Espírito Santo,135.6
718.639.502-30,21:06,05/08/2022,Macarrão,22.6,6,13,Brenda,cartão_credito,Rio de Janeiro,135.6
214.958.370-41,12:53,26/08/2022,Açúcar,25.5,1,20,Julia,cartão_debito,Rio de Janeiro,25.5
472.618.509-85,11:08,16/08/2022,Feijão,15.5,2,16,Elisa,dinheiro,Espírito Santo,31.0
672.084.193-96,17:28,09/08/2022,Carne,37.0,2,4,Brenda,pix,Espírito Santo,74.0
937.402.856-56,08:39,14/08/2022,Macarrão,22.6,5,16,Cecília,pix,São Paulo,113.0
260.548.397-56,22:28,22/08/2022,Açúcar,25.5,9,4,Pietra,cartão_credito,Rio de Janeiro,229.5
123.740.596-34,08:30,09/08/2022,Carne,37.0,8,20,Pietra,dinheiro,Rio Grande do Sul,296.0
810.396.425-51,11:10,19/08/2022,Açúcar,25.5,4,5,Cecília,dinheiro,Espírito Santo,102.0
960.342.517-61,21:21,15/08/2022,Açúcar,25.5,9,2,Evelyn,pix,Espírito Santo,229.5
703.691.285-59,11:29,10/08/2022,Carne,37.0,6,20,Cecília,cartão_credito,Minas Gerais,222.0
621.708.943-22,08:19,06/08/2022,Leite,12.3,8,6,Julia,cartão_debito,Bahia,98.4
481.350.297-05,21:58,23/08/2022,Óleo,18.4,10,12,Julia,dinheiro,Rio de Janeiro,184.0
269.104.578-11,21:06,19/08/2022,Arroz,21.7,6,11,Brenda,cartão_debito,Bahia,130.2
164.950.372-52,14:31,11/08/2022,Açúcar,25.5,7,10,Cecília,cartão_credito,Rio Grande do Sul,178.5
529.617.308-21,08:48,30/08/2022,Óleo,18.4,8,3,Elisa,cartão_credito,Bahia,147.2
452.381.609-33,13:44,02/08/2022,Açúcar,25.5,3,17,Cecília,dinheiro,Rio de Janeiro,76.5
365.718.409-01,18:44,17/08/2022,Leite,12.3,8,11,Evelyn,cartão_debito,São Paulo,98.4
786.429.301-87,08:11,03/08/2022,Arroz,21.7,3,4,Pietra,dinheiro,Rio de Janeiro,65.1
143.570.926-80,13:21,20/08/2022,Macarrão,22.6,8,15,Cecília,cartão_debito,Bahia,180.8
346.278.015-80,21:56,05/08/2022,Carne,37.0,8,1,Brenda,cartão_debito,Espírito Santo,296.0
853.240.619-05,13:10,12/08/2022,Óleo,18.4,8,3,Brenda,cartão_debito,Bahia,147.2
873.092.145-79,14:48,03/08/2022,Açúcar,25.5,8,2,Cecília,cartão_credito,Minas Gerais,204.0
485.230.967-10,20:29,29/08/2022,Feijão,15.5,4,16,Brenda,dinheiro,Minas Gerais,62.0
768.532.914-09,09:44,08/08/2022,Arroz,21.7,1,18,Brenda,cartão_credito,Bahia,21.7
965.084.231-42,09:29,03/08/2022,Açúcar,25.5,5,7,Evelyn,cartão_debito,Rio de Janeiro,127.5
736.520.149-52,19:55,01/08/2022,Leite,12.3,1,14,Julia,dinheiro,Minas Gerais,12.3
794.352.610-43,14:24,25/08/2022,Óleo,18.4,8,11,Cecília,cartão_debito,Espírito Santo,147.2
261.085.973-21,10:22,08/08/2022,Feijão,15.5,7,16,Brenda,dinheiro,Espírito Santo,108.5
172.034.986-03,15:29,15/08/2022,Arroz,21.7,1,8,Cecília,pix,Minas Gerais,21.7
931.675.824-64,22:43,08/08/2022,Macarrão,22.6,5,4,Elisa,cartão_credito,Rio de Janeiro,113.0
258.904.137-32,17:12,08/08/2022,Açúcar,25.5,7,15,Cecília,pix,Espírito Santo,178.5
710.824.635-07,19:32,08/08/2022,Macarrão,22.6,8,15,Brenda,cartão_debito,Minas Gerais,180.8
907.162.843-40,19:47,28/08/2022,Açúcar,25.5,4,7,Brenda,dinheiro,Rio Grande do Sul,102.0
316.502.498-70,09:50,27/08/2022,Macarrão,22.6,6,15,Cecília,dinheiro,São Paulo,135.6
965.073.418-00,19:49,04/08/2022,Leite,12.3,4,13,Pietra,cartão_credito,Bahia,49.2
526.813.470-17,22:43,25/08/2022,Macarrão,22.6,5,3,Elisa,cartão_debito,Rio Grande do Sul,113.0
036.215.748-08,08:06,13/08/2022,Arroz,21.7,1,9,Pietra,cartão_credito,Espírito Santo,21.7
395.120.768-02,11:14,01/08/2022,Açúcar,25.5,9,15,Brenda,dinheiro,São Paulo,229.5
753.429.806-74,20:07,22/08/2022,Arroz,21.7,3,20,Evelyn,dinheiro,Minas Gerais,65.1
472.618.509-85,20:17,10/08/2022,Óleo,18.4,5,12,Pietra,cartão_debito,Rio Grande do Sul,92.0
623.910.478-78,18:11,07/08/2022,Carne,37.0,5,3,Pietra,dinheiro,Rio Grande do Sul,185.0
162.043.598-51,09:33,21/08/2022,Carne,37.0,4,17,Elisa,pix,Rio de Janeiro,148.0
526.813.470-17,18:11,29/08/2022,Macarrão,22.6,1,3,Cecília,dinheiro,Minas Gerais,22.6
158.392.064-15,14:38,09/08/2022,Macarrão,22.6,5,9,Pietra,dinheiro,São Paulo,113.0
106.984.375-00,18:04,22/08/2022,Arroz,21.7,9,18,Cecília,cartão_credito,Rio Grande do Sul,195.3
930.647.215-34,12:37,22/08/2022,Carne,37.0,4,18,Evelyn,pix,Espírito Santo,148.0
981.205.647-58,20:51,22/08/2022,Arroz,21.7,3,2,Cecília,cartão_debito,Rio Grande do Sul,65.1
679.513.482-28,19:06,17/08/2022,Leite,12.3,5,6,Pietra,dinheiro,Espírito Santo,61.5
294.510.637-06,16:34,05/08/2022,Óleo,18.4,6,14,Elisa,cartão_credito,Rio Grande do Sul,110.4
204.735.869-83,20:36,24/08/2022,Macarrão,22.6,5,8,Brenda,cartão_credito,Espírito Santo,113.0
807.192.465-20,14:59,27/08/2022,Açúcar,25.5,2,1,Pietra,cartão_debito,Minas Gerais,51.0
418.970.635-39,20:48,01/08/2022,Macarrão,22.6,2,6,Brenda,cartão_debito,São Paulo,45.2
924.176.035-43,08:54,18/08/2022,Feijão,15.5,4,10,Pietra,dinheiro,Espírito Santo,62.0
054.729.816-11,12:59,08/08/2022,Carne,37.0,6,2,Elisa,pix,Rio de Janeiro,222.0
908.165.243-51,21:21,08/08/2022,Feijão,15.5,6,20,Elisa,pix,Rio de Janeiro,93.0
759.243.068-10,10:14,22/08/2022,Carne,37.0,4,9,Brenda,pix,Rio Grande do Sul,148.0
326.745.980-00,14:07,08/08/2022,Macarrão,22.6,1,21,Pietra,cartão_debito,Bahia,22.6
590.483.127-79,08:09,22/08/2022,Leite,12.3,3,1,Elisa,cartão_credito,Espírito Santo,36.9
167.425.803-80,21:07,17/08/2022,Feijão,15.5,6,21,Julia,pix,Rio de Janeiro,93.0
759.243.180-79,16:08,30/08/2022,Feijão,15.5,8,3,Cecília,pix,Rio de Janeiro,124.0
965.147.023-25,09:09,17/08/2022,Leite,12.3,8,3,Evelyn,dinheiro,Bahia,98.4
860.957.341-93,08:47,20/08/2022,Feijão,15.5,8,7,Pietra,pix,Rio Grande do Sul,124.0
872.091.534-97,21:21,23/08/2022,Macarrão,22.6,3,1,Cecília,pix,Rio de Janeiro,67.8
089.523.147-60,19:18,15/08/2022,Macarrão,22.6,3,16,Cecília,cartão_credito,Rio de Janeiro,67.8
286.173.940-13,11:13,27/08/2022,Arroz,21.7,5,12,Julia,dinheiro,Rio de Janeiro,108.5
367.402.891-31,17:27,08/08/2022,Carne,37.0,10,19,Pietra,cartão_debito,Espírito Santo,370.0
514.380.692-51,19:16,12/08/2022,Óleo,18.4,2,8,Evelyn,cartão_debito,Rio de Janeiro,36.8
935.416.820-51,18:11,10/08/2022,Arroz,21.7,6,5,Cecília,cartão_credito,Rio de Janeiro,130.2
028.356.194-70,09:08,07/08/2022,Açúcar,25.5,6,18,Brenda,cartão_credito,Bahia,153.0
810.396.425-51,20:04,13/08/2022,Leite,12.3,2,21,Pietra,pix,São Paulo,24.6
718.639.502-30,18:49,02/08/2022,Feijão,15.5,7,2,Elisa,dinheiro,São Paulo,108.5
640.187.392-22,14:16,09/08/2022,Leite,12.3,2,4,Evelyn,dinheiro,Bahia,24.6
257.631.980-77,17:07,01/08/2022,Leite,12.3,6,9,Cecília,pix,Espírito Santo,73.8
365.718.409-01,14:13,23/08/2022,Leite,12.3,1,17,Brenda,dinheiro,Rio Grande do Sul,12.3
590.437.128-41,16:10,29/08/2022,Açúcar,25.5,3,19,Pietra,pix,São Paulo,76.5
238.516.407-80,20:26,06/08/2022,Carne,37.0,9,1,Cecília,cartão_debito,Espírito Santo,333.0
295.143.786-28,22:54,22/08/2022,Açúcar,25.5,10,13,Evelyn,pix,Rio Grande do Sul,255.0
746.138.205-53,14:28,10/08/2022,Macarrão,22.6,7,18,Evelyn,dinheiro,Bahia,158.2
843.627.159-91,15:10,29/08/2022,Feijão,15.5,6,11,Pietra,pix,São Paulo,93.0
549.607.281-67,15:45,05/08/2022,Leite,12.3,8,7,Elisa,dinheiro,Minas Gerais,98.4
459.213.608-05,13:59,10/08/2022,Óleo,18.4,9,1,Cecília,cartão_debito,Rio de Janeiro,165.6
459.213.608-05,15:41,02/08/2022,Carne,37.0,9,21,Cecília,cartão_debito,Minas Gerais,333.0
809.376.214-04,13:26,14/08/2022,Arroz,21.7,3,20,Evelyn,cartão_debito,Espírito Santo,65.1
485.230.967-10,09:16,04/08/2022,Arroz,21.7,4,4,Brenda,cartão_credito,Minas Gerais,86.8
532.471.968-46,08:52,30/08/2022,Feijão,15.5,2,21,Pietra,cartão_credito,Espírito Santo,31.0
345.170.286-07,21:38,20/08/2022,Arroz,21.7,5,1,Evelyn,pix,São Paulo,108.5
290.813.765-86,15:28,23/08/2022,Arroz,21.7,4,7,Cecília,cartão_credito,Espírito Santo,86.8
298.403.516-05,14:52,11/08/2022,Feijão,15.5,2,16,Elisa,cartão_debito,Espírito Santo,31.0
602.941.375-99,22:41,06/08/2022,Arroz,21.7,6,12,Cecília,pix,Rio Grande do Sul,130.2
286.713.054-90,14:21,09/08/2022,Arroz,21.7,5,19,Elisa,dinheiro,Rio Grande do Sul,108.5
189.736.452-00,09:58,16/08/2022,Óleo,18.4,4,17,Elisa,dinheiro,Minas Gerais,73.6
809.376.214-04,16:30,26/08/2022,Feijão,15.5,8,17,Evelyn,cartão_credito,Espírito Santo,124.0
128.496.305-51,08:10,03/08/2022,Feijão,15.5,8,21,Evelyn,cartão_credito,Rio de Janeiro,124.0
825.013.974-79,16:51,12/08/2022,Leite,12.3,6,12,Cecília,cartão_credito,Espírito Santo,73.8
908.165.243-51,18:53,02/08/2022,Leite,12.3,3,20,Cecília,cartão_credito,Espírito Santo,36.9
672.398.541-91,21:25,09/08/2022,Leite,12.3,5,18,Evelyn,dinheiro,Rio Grande do Sul,61.5
614.830.295-06,18:51,06/08/2022,Leite,12.3,7,20,Pietra,pix,Minas Gerais,86.1
538.246.190-24,09:43,20/08/2022,Feijão,15.5,8,17,Julia,pix,Espírito Santo,124.0
514.032.678-71,16:05,07/08/2022,Óleo,18.4,10,18,Brenda,cartão_credito,Espírito Santo,184.0
253.681.947-73,09:30,27/08/2022,Arroz,21.7,2,19,Pietra,dinheiro,São Paulo,43.4
472.150.963-43,09:03,11/08/2022,Leite,12.3,3,16,Cecília,cartão_credito,Espírito Santo,36.9
920.871.346-69,11:09,19/08/2022,Carne,37.0,10,13,Evelyn,cartão_debito,Espírito Santo,370.0
510.679.284-30,20:24,12/08/2022,Leite,12.3,9,11,Brenda,cartão_debito,Rio Grande do Sul,110.7
389.024.516-15,18:28,06/08/2022,Feijão,15.5,4,21,Brenda,cartão_credito,Minas Gerais,62.0
708.645.129-02,09:25,19/08/2022,Feijão,15.5,2,14,Elisa,dinheiro,Minas Gerais,31.0
312.470.586-62,13:51,21/08/2022,Feijão,15.5,6,1,Brenda,dinheiro,Minas Gerais,93.0
509.364.812-42,22:36,05/08/2022,Macarrão,22.6,1,15,Brenda,cartão_debito,Rio de Janeiro,22.6
019.352.784-79,12:23,11/08/2022,Feijão,15.5,4,9,Cecília,pix,Rio de Janeiro,62.0
124.863.970-78,22:41,15/08/2022,Açúcar,25.5,9,13,Julia,dinheiro,Espírito Santo,229.5
365.718.409-01,17:29,15/08/2022,Arroz,21.7,1,18,Elisa,cartão_debito,Espírito Santo,21.7
217.984.506-58,18:49,26/08/2022,Leite,12.3,8,6,Pietra,dinheiro,Rio de Janeiro,98.4
873.092.145-79,18:50,17/08/2022,Açúcar,25.5,8,6,Evelyn,dinheiro,Bahia,204.0
164.950.372-52,08:55,09/08/2022,Feijão,15.5,10,4,Pietra,pix,São Paulo,155.0
916.847.520-94,20:32,16/08/2022,Leite,12.3,2,4,Brenda,dinheiro,Minas Gerais,24.6
